,Tittel,Abstrakt,Årstall
1093,LNG inventory routing problem under uncertain weather,"The inventory routing problem (IRP) in Liquefied Natural Gas (LNG) is one of the representative maritime IRP. In this problem, how to hedge the risk of uncertain voyage time brought by uncertain weather has long been a ...",2020
1110,Climate change : the transition risk : an empirical analysis of the inclusion of a Green-Minus-Brown factor in common factor models,"The transition towards a greener economy is highly uncertain. This thesis explores the impact of transition
risk on equity prices. More specifically, we first study whether di↵erences in return between companies
with ...",2020
1114,Synchronization of price changes within firms and industries : a micro-level analysis using PPI data,"Macroeconomic and monetary policy rely heavily on the assumption of price rigidity in
the short run. In the literature there is broad consensus on the existence of such rigidities,
but their origins remain to be fully ...",2020
1118,Distinguishing potential child insurance customers : a statistical investigation,In this thesis we try to illuminate possible reasons why the launch of a more affordable child insurance product by an established Norwegian insurance company failed to live up to the company’s expectations. We use three ...,2020
1120,Which sustainability efforts are most profitable to prioritize? :  a proxy approach to sustainability effort measurement,"In this thesis, we look at annual- and sustainability reports as a proxy to sustainability efforts for companies listed on the OSEAX-index. By using textual analysis on annual and sustainability reports, along with other ...",2020
1125,Challenges and approaches of integrating sustainability into the brand positioning : a qualitative research,"Since sustainability is an important marketing tool nowadays, companies are increasingly
paying attention to integrate sustainability into their marketing communication. Across the
industries and types of companies, there ...",2020
1126,Consumer inertia and switching costs in the Norwegian electricity market,"In this thesis we aim to investigate the degree of consumer inertia and estimate the
switching costs in the Norwegian electricity market. We utilize two separate models to
estimate the implicit switching costs embedded ...",2020
1129,Do active managers live up to their pitch? : an empirical study on Scandinavian active fund performance in crises,"Active fund management is a heated topic. Investors have been willing to pay for skilled
active managers in the belief that they will obtain greater returns. The literature remains
skeptical. In their defence active ...",2020
1130,The financial health of Norwegian crowdlending borrowers : comparing crowdlending borrowers and borrowers in traditional banks by applying three bankruptcy prediction models,"The purpose of this thesis is to examine whether companies obtaining loans at Norwegian
crowdlending platforms are more likely to default than companies obtaining loans in traditional
Norwegian banks. Crowdlending, the ...",2020
1136,License to krill : aA fundamental valuation of Aker BioMarine,"In this master thesis, we have conducted an extensive strategic and financial analysis of Aker BioMarine. The thesis aims to estimate the fair intrinsic value of the equity and share price as of October 30, 2020. The ...",2020
1144,Predicting patent litigation :  a comprehensive comparison of machine learning algorithm performance in predicting patent litigation,"Patents are designed to act as an incentive for innovation by awarding exclusive property
rights to the inventor. And as such, patents are one of the main driving forces behind
innovation, and ultimately economic growth ...",2020
1152,Impact assessment of electric vehicles incentives on EV adoption and road traffic : the cases of Norway and the Netherlands,"The increase in air pollution is a critical issue both at local and global level, as it endangers people’ health and accelerates climate change. The United Nations claimed that to keep global warming at 1.5°C, carbon ...",2020
1170,Human resource management perceptions in the algorithm-driven platform economy : an exploratory study on the role of key actors in the food delivery sector,"This study is an examination of human resource management (HRM) in the platform-driven
gig economy. More specifically, this research aims to answer the following question:
How do different actors in the algorithm-driven ...",2020
1177,Valuation of Heineken N.V. : a fundamental analysis of a Dutch beer company,"The main objective of this paper is to determine the intrinsic value of one Heineken share as
of May 15, 2020. The primary method that is used in order to achieve this objective is
fundamental valuation (absolute valuation). ...",2020
1179,"Something old, something new : a hybrid approach with ARIMA and LSTM to increase portfolio stability","In this thesis we seek to examine how modern forecasting approaches can improve estimations
of stock pair correlations, and derived from this, contribute to making portfolios more stable.
Volatility of financial markets ...",2020
1181,The influence of agile ways of working on change capacity : a case study exploring organizational agility in practice,"In this case study, I explore if and how agile ways of working influence change capacity. In that, I investigate the effects on change capacity at both the organizational and individual level. First, to gain an understanding ...",2020
1183,Sustainable shipping: exploring the feasibility of investments in hydrogen-powered vessels for the short-sea sector,Greenhouse gas emission from the shipping industry is increasing. At the same time there is a pressing need to reduce the anthropogenic greenhouse gas emissions. The need for alternative marine fuels is a fact. In this ...,2020
1185,Inventors in tax havens,"The aim of this thesis is to examine to which extent inventors engage in tax havens, as well as
the characteristics of the inventors engaged in tax haven compared to the average inventor.
Inventors are behind the innovations ...",2020
1188,Left at the altar? : termination provisions in M&A transactions : an empirical study of the rationales and premium effects of target and reverse termination fees among strategic and financial acquirers,"This thesis examines rationales behind, and premium implications of, target and reverse
termination fees (TTFs and RTFs) in M&A transactions. Our main innovation is to
distinguish between strategic and financial acquirers ...",2020
1190,Machine learning for property valuation : an empirical study of how property price predictions can improve property tax estimations in Norway,"This thesis investigates whether machine learning methods can improve property price
predictions, leading to more accurate property tax estimations in Norway. This study is
important to ensure fair and trustworthy taxation ...",2020
1197,Assessing the profitability of hybrid microgrids for rural electrification : a multi stage and financial model,"Electricity access expansion is currently one of the main issues in the global agenda,
considering the benefits that electrification brings to human society. A lot has been
achieved in the past years, however, rural areas ...",2020
1198,The blue light rail : a ferry network design problem with pickup and delivery,"Urbanization, global sustainability issues and a growing population raises concerns for
transportation and city-logistics. Increasing supply of transportation alone is not sufficient
to meet a growth in transportation. ...",2020
1199,Sustainability in times of crisis : an empirical look into the relationship between financial and CSR performance during times of crises,"From Financial Crisis to Environmental Disasters to protests, corporations are facing
numerous crisis that they must navigate through. As a result, corporations may find it hard to
justify the need to invest into sustainable ...",2020
1206,The ESG puzzle : a meta-analysis exploring the academic dissensus on the link between ESG and financial performance,"In this thesis, we aim to untangle the lack of consensus among previous studies on the
subject of ESG investing. We replicate four articles that focus on the Global, U.S. and
European markets, at different time periods, ...",2020
1211,The evolution of (inter-organizational) projects to (micro-) ecosystem :  an ecosystem emergence,"This thesis is an exploratory case study on how projects evolve to ecosystems. The research
study is demonstrated by two empirical cases provided by Telenor in a context of smart city;
namely water infrastructure and air ...",2020
1215,The daughter effect : how the sex of offspring influences father’s attitudes toward intimate partner violence : evidence from Sub-Saharan Africa,"Violence against women is to date one the most prevalent and destructive human right violations in the world (UN, 2020). Yet, our understanding of how violent attitudes are shaped and developed, is rather limited (Picon, ...",2020
1221,Economic policy uncertainty and Norwegian stock returns : an empirical study of the relation between economic policy uncertainty and stock returns with evidence from the Oslo stock exchange in the period of 1992 - 2019,This study investigates if economic policy uncertainty (EPU) is priced in stock returns at the Oslo Stock Exchange (OSE). The analysis is conducted by exploring the linear relationship between exposure to economic policy ...,2020
1223,The influencer effect on tourism :  shifting adventure travel behavior towards more sustainability through instagram influencers,"In the past few years, Instagram and the influencer marketing model has offered a significant
amount of attention and attraction to the adventure tourism industry, sourcing large crowds of
tourists to many “Instagram-famous” ...",2020
1226,Performance of Nordic public family firms : comparable analysis of Nordic public family firm’s performance against the Fama and french five-factor model,"This thesis examines the stock market performance of family firms in the Nordic region. Specifically, we investigate whether an investor would have earned higher returns by investing in Nordic family firms than being ...",2020
1227,Estimating vessel environmental performance : a machine learning approach for predicting vessel fuel consumption and transparently quantifying the environmental sustainability impact of vessel exhaust gases,"The shipping industry faces a number of challenges regarding its share of total
anthropogenic emissions worldwide. A range of measures have been initiated, both
by official and private parties. Nevertheless, there are ...",2020
1234,The interdependence of management control systems and conflict resolution between sustainability and profitability : a case study of Grieg Star,"With a foundation from the extensive literary debate on the profitability of sustainability, this
study will look into how an organisation can achieve a triple bottom line. Companies are
seeking advice on how to manage ...",2020
1240,The value of interpretable machine learning in wind power prediction : an emperical study using shapley addidative explanations to interpret a complex wind power prediction model,"The main objective of this thesis is to evaluate if interpretable machine learning provides valuable insight into TrønderEnergi’s wind power prediction models. As we will see, interpretable machine learning provides ...",2020
1245,Analysing the demand for carsharing in Bergen : an empirical approach using car-specific and demographic data,"Background: Car-sharing is gaining popularity throughout the world. Currently, there is
limited research on car-sharing in Norway. This paper aims to identify empirically, based on
past data, what demographic and ...",2020
1246,"The Day-of-the-Week effect at Oslo stock exchange : examining the presence of, and explanations for, the Day-of -the-Week effect in Norway from 2000 to 2019","We study the Day-of-the-Week effect in the Norwegian securities market from 2000 to 2019,
in which we examine whether daily returns are lower on Monday and higher on Friday than
the other days of the week. We find evidence ...",2020
1256,The future of the energy supply sector and the role of nuclear power : what is the real price of energy?,"The IPCC has composed three different future pathways that dictates the level of emission and air pollution based on actions done in the coming century. Two of the scenarios demand comprehensive emission reduction, especially ...",2020
1264,The air passenger tax  : an empirical analysis of the effect of the air passengers tax on air-traffic volumes for domestic routes in Norway,"This master’s thesis seeks to analyse the effect of the Air Passenger Tax, introduced by the
Norwegian government in 2016 on all flights departing a Norwegian airport. The future of the
Air Passenger Tax is of current ...",2020
1270,Bulk without boundaries : an empirical study of bulk vessel speeds absent of contractual constraints,"Classical maritime theory suggests that vessel operators optimize speed based on prevailing
market conditions. However, numerous academic contributions have failed to provide
supportive empirical evidence of real life ...",2020
1275,To what extent does transformational leadership impact employees’ innovative behaviors through the mediation of their prosocial motivation?,"The inner aim of the present research was to investigate to what extent a transformational
leadership approach is able to impact employees’ innovative behaviors. In doing so, a third
variable has been considered, namely ...",2020
1283,Can default options lead to credit card default? : an empirical analysis of the effect of altered default options on credit card repayment behavior in Norway,"The aim of this thesis is to study the effect on repayment behavior of a regulation imposed
on all Norwegian credit card issuing institutions in 2017. The intervention involved
changing the invoice default option from ...",2020
1287,"Spatial modelling of unconventional wells in the Niobrara Shale play : a descriptive, and a predictive approach.","This research investigates oil production in the modestly studied Niobrara shale play,
using data containing information about well-design and production volumes from wells
drilled in the period 2011 - 2018. Firstly, ...",2020
1289,What causes abnormal returns following stock splits? : the impact of institutional and retail ownership over time,"In this study we investigate to what degree the composition of ownership, retail and institutional, has an effect on the already established abnormal returns following stock splits. We look at time periods of 1 month, 3 ...",2020
1291,Valuation of VOW ASA : a fundamental analysis of a company turning waste into value,"The aim of this thesis is to obtain an unbiased target price of Vow ASA by applying a three-stage
weighted average cost of capital model, supported by a relative valuation approach. We conduct a
thorough analysis of key ...",2020
1292,What the hack? : an empirical analysis of the stock market reactions to hacking announcements,"To raise awareness of the financial consequences for companies that do not safeguard
personal data, this thesis investigates the stock market reaction following hacks.
Furthermore, it investigates the role consumers and ...",2020
1297,Retail investors’ preferences for lottery stocks : Are retail investors overinvesting in lottery-type stocks due to wealth constraints?,"We find that retail investors on aggregate are less attracted to stocks with highly skewed
returns after an exogenous increase in stock tradability. Using data on the number of
Robinhood investors owning U.S. stocks, we ...",2020
1298,"The effects of fiscal policy in a small, open economy : a structural VAR analysis of fiscal shocks in Norway employing sign restrictions","This thesis investigates how fiscal policy affects output (GDP) in a small, open economy.
The analysis utilizes data on Mainland GDP, government spending and taxes in Norway
from 1978 to 2017. In order to identify and ...",2020
1301,The impact of the 2014 oil price shock on corporate sustainability and performance,"Our thesis aims to study whether high sustainability companies in Europe outperform
low sustainability companies in terms of stock performance following the oil price shock
in 2014. To conduct this analysis, we employ a ...",2020
1304,Barriers for private sector companies operating in waste management and recycling in Sub-Saharan Africa : a qualitative exploration,"Global waste management is critical for sustainable development, yet it is often overlooked
in development theory and global education. The greatest increase in waste generation is
expected to take place in Sub-Saharan ...",2020
1311,Measuring what matters in a dynamic business world : an exploratory case study of company and stakeholder perceptions of materiality in the renewable energy sector,"An important step towards reaching the United Nations’ 2030 Agenda and the associated
Sustainable Development Goals, is to illuminate what impact companies and industries
have on environmental, social and economic aspects. ...",2020
1315,The beautiful game and abnormal returns: the impact of match outcomes and ex-ante expectations on a football club’s stock price :  an event study,"The aim of this study is to examine the stock price reaction of listed football clubs to different types of
match outcomes and the ex-ante expectations about the outcomes. Analysing 8472 matches of 22
European football ...",2020
1316,Empirical comparison of load forecasting methods for Skagerak energilab : a perspective of the operational and economic efficiency gain as a result of increased forecasting accuracy in a microgrid environment,"This master thesis is analyzing short-term load forecasting. Power consumption in kW will be
forecasted 24 hours ahead, for each day of a week and finally averaged to derive mean
performance. The forecast will be conducted ...",2020
1318,Forecasting and trading in the    crude tanker FFA market :    forecasting and applying trading strategies on crude tanker    forward freight agreements using neural networks and AIS-data,The objective of this thesis is to forecast derivative prices of Forward Freight Agreements (FFAs) using machine learning techniques and investigate the profitability of implementing quantitative trading strategies. The ...,2020
1322,Modelling probability of default with machine learning :  how well does machine learning perform and can it replace the standard methods?,"In this master thesis we apply a variation of different machine learning techniques on a dataset for credit card clients in Taiwan to model the probability of default.
In this master thesis, we apply machine learning ...",2020
1324,How can corruption affect corporate behaviour? : a two-stage game theory model approach,"This paper rationalizes the behaviour of decision makers within several countries where
such behaviour is mainly non-existent or illegal. In particular, we study the Telecom
Corruption Scandal in 2012 and build a two-stage ...",2020
1326,Predictive modelling of customer claims across multiple insurance policies : an empirical study of how individual customer insurance data can be used to assess customer risk across multiple insurance products by employing machine learning and advanced ensemble techniques,"In this master thesis, we have analysed how individual insurance customer data can be used to
assess customer risk across multiple insurance policies. Our dataset contains 63 variables
about the characteristics of each ...",2020
1330,Sustainable food consumption in Latin America : how to meet the sustainable development goals,This study first examines existing literature on agricultural consumption and production and how sustainability can be driven by consumer behavior. The thesis also explains the main differences between plant and animal-based ...,2020
1331,Illiquidity in asset pricing and as investment strategy : an empirical analysis,"This Master’s thesis examines the illiquidity premium. In the first part of the thesis, we analyse
whether a traded illiquid-minus-liquid (IML) return factor helps in explaining the cross-section
of expected returns. In ...",2020
1341,Navigating the process of sustainable business model innovation : a multiple case study of three large German firms,"Purpose – The main purpose of this study is to increase the understanding of the sustainable
business model innovation (SBMI) process in large firms by holistically examining the process
from “idea to launch.”
Design/ ...",2020
1345,Assessing the potential of hydrogen energy storage in a stand-alone electricity grid : applying mathematical programming to balance electricity production and consumption : a case study on the Faroe Islands,"The increasing adaption of renewable energy sources (RES), with intermittent and nondispatchable
production output, requires an increased effort to continuously balance supply
to meet demand in electricity grids. Failing ...",2020
1351,Preconditions to start and scale digital ecosystems : a study of aquacloud in the Norwegian seafood industry,"Digital transformation characterizes a vast number of companies, and increasingly as the
technological advancements with artificial intelligence (AI), internet of things, and 5G
mobile network technology expands the ...",2020
1354,The evolution of business analytics :  based on case study research,"While business analytics is becoming more significant and widely used by companies from increasing industries, for many the concept remains a complex illusion. The field of business analytics is considerably generic and ...",2020
1355,Wind power production and electricity price volatility : an empirical study of the effect of increased wind power production on electricity price volatility in Norway,"As renewable energy sources are gaining increasing importance on the global electricity
scene, the importance of understanding their implications increases accordingly. This thesis
aims to increase electricity market ...",2020
1359,How do microeconomic determinants constitute the freight rate of individual contracts in the VLCC spot market?,"In this paper, we build a hedonic price model to explain the variation in freight rates in individual contracts using microeconomic data of the VLCC market. Using XGBoost and SHAP values to investigate the importance and ...",2020
1361,Socially responsible investing (SRI) mutual funds and market crises : an empirical analysis of the risk-adjusted performance of SRI funds relative to conventional funds during market crises,"The master thesis aims to investigate the risk-adjusted performance of socially responsible
investing (SRI) funds relative to conventional funds. We study the performance in different
market states from March 2003 to ...",2020
1366,The obscure truth about governance quality and tax havens : an empirical analysis of the effect of governance and institutional quality on the  nancial secrecy index,"This thesis aims to clarify the obscure perception about tax havens being well-governed countries. Empirical
studies on tax havens usually take a dichotomous approach whereby a jurisdiction is either a tax haven or
not. ...",2020
1367,Reshaping affordable luxury fashion : the green shift : how does the type of sustainability attribute impact young generations’ consumer behavior?,"Luxury fashion consumers are increasingly becoming more environmentally concerned and
consequently demand brands to meet their needs with responsible, yet luxurious products. This
trend is especially evident in Millennials ...",2020
1371,"Collaboration for sustainability :  a qualitative study of the objectives, enablers and barriers for collaborations entered with regard to sustainability","There are 17 Sustainable Development Goals set to be achieved by 2030, and business
collaboration is emphasized as important in achieving these goals. Business actors are
encouraged to collaborate and they themselves ...",2020
1373,R&D intensity and intangible assets effect on capital structure :  an empirical analysis of the it services industry,"In the 21st century, firms aim to meet consumer preferences in an absurdly rapid manner with
new technological products and solutions. Innovation from R&D investments has become
increasingly important to meeting this ...",2019
1377,Why does the Norwegian bond market issue so few green bonds? :  a comparative study of the Norwegian and Swedish green bond markets,"To uncover the underlying reasons why the Norwegian bond market issues so few green
bonds, the thesis contains two objectives. The first objective is to analyze the performance
of green bonds in the primary and secondary ...",2019
1378,Determinants of director compensation: evidence from Norway : an empirical study of Norwegian companies from 2004 to 2016,"Building on a comprehensive data set containing financial data on Norwegian companies
from 2004 to 2016 combined with a database on all individuals holding directorships in the
same period, this thesis investigates the ...",2019
1380,The implementation of change for incumbent multinationals : a strategic analysis of Telenor Research performed through a dynamic capability lens.,"A common perception in the field of strategic management is that incumbent multinational
companies (MNCs) usually fail to remain relevant in their industry and rarely introduce
radical product innovation when they confront ...",2019
1382,Enhancing financial performance through strategic cost reduction initiatives : an investigation into cost efficiency gains related to print- and distribution processes in a global newspaper supply chain,"In this thesis, we investigate different approaches to enhance financial performance through strategic cost reduction initiatives related to print- and distribution processes in a newspaper supply chain. First, we examine ...",2019
1386,A supply side perspective on the historical short term co-movement of output and prices in Norway : empirical evidence and implications for monetary policy,"This thesis explains how inflation targeting as an objective for monetary policy, to some extent, relies upon the inflation rate reflecting output cycles in the short-term. It also explains how this assumption does not ...",2019
1398,SkatteFUNN and corporate croups : how changes in the SkatteFUNN scheme affects group structure and firms’ operational expenses,"In this thesis, we have chosen to study the Norwegian R&D tax incentive; SkatteFUNN. The
aim of the thesis was to see whether corporate groups optimizes from the scheme by making
structural changes with changes in the ...",2019
1414,Scanning the horizon : forecasting and trading on forward freight agreements using long short-term memory neural networks and AIS-derived features,"The purpose of this study has been to predict Forward Freight Agreement (FFA) prices using
machine learning techniques, investigate the additional forecasting power of Automatic
Identification System (AIS) derived features, ...",2019
1424,Success with AMS : a quantitative study of what determines success of farmers using Automatic Milking Systems (AMS) in Norway,"The aim of this thesis is to explain what determines success of Norwegian dairy farmers who
use automatic milking systems (AMS). Since the beginning of the 21st century, AMS have
accounted for an increasing share of milk ...",2019
1425,Transparency and its relation to sustainability performance : aA textual mining approach to sustainability performance of mutual funds and disclosure in underlying companies,"Over the last decade, sustainability has truly moved from niche to mainstream when it comes to attracting attention among investors and policymakers. The number of funds investing under environmental, social and governance ...",2019
1433,Does self-attention influence sustainable choices? : an experimental study on how self-attention affects sustainable product preference and the false consensus effect,"The purpose of this research is to investigate how consumers can be influenced to act more
frequently on their ‘green’ values and attitudes. We test whether increased self-attention has
an effect on preference for the ...",2019
1437,European climate policy and industrial relocation : an assessment of the ecological and managerial impact of the EU ETS on European manufacturing,"Do abatement costs from CO2 emissions affect a firm’s choice to relocate, by that creating
carbon leakage? The aim of this thesis is to investigate the accuracy and effectiveness of
climate policies in the European Union ...",2019
1439,Inequality acceptance among children : an empirical analysis of the development of social preferences through childhood and adolescence in China and Norway,"Inequality is a pressing social issue and inequality considerations figure prominently in
almost all spheres of society. The general perception of whether an inequality is fair or
not, is often related to the source of ...",2019
1441,Tax sensitivities in the profit Distribution : a study of european multinationals,"The main purpose of this study is to analyze the tax sensitivity of European Multinationals.
In income shifting literature, it has become a common approach to assume that the most tax
aggressive MNCs tend to bunch around ...",2019
1442,An exploratory study of economic incentives and corporate tax evasion : how can economic incentives to self-report reduce corporate tax evasion in Norway?,"The thesis aims to answer how economic incentives to self-report can reduce corporate tax evasion in Norway. To do so, I make a theoretical and empirical comparison, using a literature review and interviews with Skatteetaten ...",2019
1443,Sustainability disclosure and stock returns : a study of firm 10-K sustainability disclosure and stuck returns in the period 1994-2017.,"I utilize a keyword matching technique for comparing sustainability disclosure levels among 
publicly listed U.S. firms. By computerized parsing of the 10-K form, filed with the U.S. 
Securities Exchange Commission, I ...",2019
1446,The effect of commodity prices on deforestation in Brazil : an empirical analysis investigating the effect of futures and spot prices for soy and maize on deforestation in Brazilian municipalities,"In this thesis we aim to provide empirical evidence of the effect of spot and futures prices
on municipal land transition in Brazil. We take advantage of newly developed, detailed,
municipality-level data on land transition, ...",2019
1453,Evaluating fuel cost hedging for SKYSS,"The focus of this thesis is to analyse if Skyss, a Norwegian public transport company, can
improve its budget certainty through hedging its diesel fuel cost. The hedging strategies is
compared to the current contract ...",2019
1458,Understanding responsible artificial intelligence : a case study on the considerations to made and how they can be addressed,"The aim of this thesis is to contribute with new insights on the concept of responsible artificial
intelligence (RAI), by answering the following main research question:
How can we understand responsible artificial ...",2019
1462,"Money and the air : the impact of income, preferences, and regulation on particulate matter pollution","In this thesis we investigate the impact of preferences, income and regulation on PM2.5 levels. The thesis uses a combined data set of income, population weighted concentration levels of PM2.5 for 157 countries from 1990 ...",2019
1479,Publicly listed versus privately Owned : the cash conversion cycle Conundrum : a comparison of public and private companies in Norway,"The objective of this thesis is bipartite. Firstly, we examine the effect of working
capital management on return on invested capital for Norwegian companies. Secondly, we
attempt to explain the differences in working ...",2019
1486,Are current Norwegian speed limits optimal? : a quasi-experimental analysis of changes in speed limits on Norwegian freeways,"The aim of this paper was to examine if Norwegian speed limits on freeways could be more
efficient from a social economic standpoint. We examined the relationship between regulations
in speed limits and actual speed held ...",2019
1487,Demand forecasting of antarctic krill meal : an automatic model for comparison of time series methods,"The world’s population is growing faster than ever. As a consequence, it is challenging
to maintain a sustainable food production to satisfy all needs. In recent years, krill has
emerged as a viable and effective supplement, ...",2019
1488,Unlocking the power of the crowd : a case study analysis of the potential of green crowdfunding platforms to accelerate sustainability transitions,"In light of the ever-increasing urgency to successfully tackle environmental challenges that
arise around the globe, growing attention is given to bottom-up approaches such as
sustainable grass-root movements, to incubate ...",2019
1492,Business model ecosystems and their implications for sustainability,"Stand-alone strategies do not work anymore, instead business models have to fit into their
business ecosystem to co-create and co-capture value. This thesis deals with the modern
concept of business model ecosystems and ...",2019
1494,The effects of financial constraints on business fundamentals and asset returns : evidence from a small open economy,"In this thesis we investigate whether financially constrained firms are fundamentally riskier
than unconstrained firms, whether this risk is priced in the form of a financial constraint
factor, and whether the financial ...",2019
1503,"To what extent does prosocial motivation prevent employees from leaving an organization? : a moderated mediation analysis of prosocial motivation, job satisfaction, mission breach and turnover in a Norwegian mission-driven company.","In this study, my goal was to investigate whether and how employees’ trait-like prosocial
motivation affects their decision to leave the organization. I wanted to examine such
relationship by considering the effect of ...",2019
1507,Extracting value from lightweight IT : a new approach to benefits management? : a case study of the implications lightweight IT has on benefits management,"This thesis aims to answer the following research question: “What are the implications of
lightweight IT on benefits management?”. The motivation to this thesis is that there is
extensive literature on how to conduct ...",2019
1514,Main vs. junior IPO Markets : an empirical study of firm-specific characteristics that affect companies’ choice of IPO market in Sweden,"This study examines the initial listing decision of firms that are qualified to list on Nasdaq
Stockholm main market but choose to list on Nasdaq First North junior market instead. While
many of previous studies have ...",2019
1522,Talking with angels :  towards a holistic perspective on angel investors’ decision-making processes,"There is a general impression in Norway that most entrepreneurs struggle to secure funding
from venture capital providers, such as angel investors. Worse still, most angel research has
failed to be of practical use, ...",2019
1527,Debt heterogeneity : an empirical study of debt structure determinants for the companies in the OSEBX index,"This thesis aims at investigating how firm-specific characteristics affect the debt structure,
debt specialisation and debt priority structure decisions of the firms in the OSEBX index.
In the period 2009-2018, we observe ...",2019
1534,Deforestation in Brazil : an empirical evaluation on the effectiveness of the Soy Moratorium,This dissertation is designed to explore the lamentable destruction that is taking place in the Amazon rainforest and further conduct an analysis with the aim of evaluating if abiding the Soy Moratorium of 2006 had any ...,2019
1535,The food value chain development project in Tanzania:  a theory-based impact evaluation,"We are evaluating an aid project in the southern parts of Tanzania called the Food Value Chain
Development Project. The project objective is to help farmers increase the quality and quantity
of their produce to able the ...",2019
1537,Fair shares among children : experimental evidence from Norway and Shanghai exploring adults behaviour in a distributive conflict of inequality,"This paper is written as the final thesis of our master’s degree at Norwegian School of Economics, NHH, and as a contribution to “Development of Fairness Preferences” – a large scale experimental project launched by Centre ...",2019
1545,Has IFRS raised the standard of accounting?  : value relevance of financial statements for stock prices in light of IFRS changes,"This thesis measures the value relevance of the financial statement through analyzing
the explanatory power and coefficients of earnings per share and book value of equity
per share on next quarter’s stock price. The ...",2019
1547,ESG Investments :  exploring the impact of sustainability on financial performance,"In this thesis, we investigate the relationship between sustainability, measured by ESG
score, and financial performance. The time period of the study is 2008-2018. We perform
three different analyses. The first is a ...",2019
1548,Stimulating sustainable development in Brazil’s coffee sector : an empirical analysis on integrated landscape management strategies,"This report investigates the sustainable agricultural performance of coffee farms in the south-eastern states of Brazil under integrated landscape management strategies. 651 municipalities were analysed across Paraná, Sao ...",2019
1550,After the rain : exploring the link between rainfall shocks and early childhood development,"This thesis studies the link between exogenous and unforeseen variations in household income
and the development level of very young children in Uganda using rainfall shocks as an
instrument for income variation. The ...",2019
1551,Flow-based market coupling in the nordic power market :  implications for power generators in NO5,"The aim of this thesis is to study the effect of the introduction of flow-based market
coupling in the Nordic power market, with specific focus on the impact on power generators
in the NO5 price area. The analysis is ...",2019
1555,Cum-ex transactions in european countries : theoretical issues and emperical evidence,The purpose of this thesis is to shed light on cum-ex transactions in European countries. Cum-ex trading is an aggressive scheme where the aim is to receive multiple dividend withholding tax reimbursements for the same ...,2019
1557,Forecasting Norwegian GDP : an empirical analysis of categorized macroeconomic data,"The topic of this master thesis is forecasting of Norwegian quarterly GDP growth. We aim to research whether a dataset of many variables can forecast Norwegian GDP growth accurate in the period 2014q2 to 2018q1, with ...",2019
1559,Understanding the guarantees of origin and their impacts on the electricity value chain : a comparative case study of Norway and Germany,"The Renewable Energy Directive 2001/77/EC (2001) introduced a system of Guarantees of
Origin (GOs) to be able to track the renewable electricity consumption in Europe. By
purchasing a GO which is an electronic certificate, ...",2019
1566,Greenium or myth : do green labels affect bond yields in the Nordic markets?,"Estimates show that there is a significant need for more investments into sustainable projects
to meet the climate goals set in the Paris Climate Agreement. Green bonds are a relatively new
type of financial security ...",2019
1567,Managerial ability and tax avoidance evidence from Europe,"Prior studies model tax avoidance after firm characteristics without considering the effect of individual decision makers, or obtain contradictory results as to the effect of the ability of these individual decision makers ...",2019
1568,How green are we thinking : the influence of levels of processing on consumers evaluations of green products,"As a result of a growing wave of more environmental awareness and a rise in environmental concerns, companies have started to incorporate green marketing strategies to meet consumers demands and expectations for sustainable ...",2019
1582,Machine learning for resource economics : a review of modern computational statistics with empirical applications in fisheries management,"Machine learning increasingly permeates our everyday lives, from artificial intelligence
suggesting how we complete a text message to big data selecting creepily relevant ads to show
us as we browse the web. While science ...",2019
1587,"Artificial intelligence in financial services : an analysis of the AI technology and the potential applications, implications, and risks it may propagate in financial services","It is hard to deny the fact that artificial intelligence and robotization have been the centre of
research for the last decades. Moreover, during the past few years it has really boomed and is
now widely utilized in many ...",2019
1591,Do maritime anti-corruption efforts affect economics? An analysis of waiting time in the Suez Canal,The purpose of this study was to investigate whether becoming member of the Maritime Anti-Corruption Network (MACN) comes with a monetary penalty in terms of longer waiting times for entering the Suez Canal. This thesis ...,2019
1595,Predicting financial distress in Norway : using logistic regression and random forest models,"Financial distress can be a highly costly and disruptive event, both on the level of the firm as
well as for the society. Models to predict financial distress for this reason have been beneficial.
In this thesis, we aim ...",2019
1599,Central bank digital currency (CBDC) : an explorative study on its impact and implications for monetary policy and the banking sector,"This thesis focuses on the concept of Central Bank Digital Currencies (CBDC) and the
possible implications this could entail for monetary policy, commercial banks, and payment
systems. With the declining use of cash and ...",2019
1600,The value of tactical and strategic CSR during crises of trust : evidence from the great recession,"In 2017, Lins, Servaes and Tamayo found that firms’ level of CSR activities affected firm performance during the 2008, 2009 financial crisis positively. In this master’s thesis, I aim to analyze the relationship on a more ...",2019
1602,Valuation and financial analysis of Salmar ASA,"The purpose of this master's thesis is to estimate a theoretical equity value of SalMar ASA
and thereby value per share on 26.04.2019. The valuation was mainly based on a fundamental
valuation, supplemented by a method ...",2019
1618,Intelligent automation in FinTech : an exploratory study of how Norwegian providers of financial technology utilize intelligent automation in light of PSD2,"By performing a literature review and conducting semi-structured interviews with six
business leaders on robotic process automation and artificial intelligence in the Norwegian
financial services industry, this thesis ...",2019
1620,Entrepreneurial motivation for engaging in business creation : a study of the composition and complexity of  entrepreneurial motivation and motivational change,"There is a lack of research exploring the diverse motivations and reasons for why certain
individuals decide to engage in entrepreneurship while others do not. Entrepreneurship is
argued to be a key driver of economic ...",2019
